frame,x,y,visible
0,1062.0,434.0,1
1,-1.0,-1.0,0
2,1076.0,436.0,1
3,-1.0,-1.0,0
4,-1.0,-1.0,0
5,-1.0,-1.0,0
6,-1.0,-1.0,0
7,-1.0,-1.0,0
8,-1.0,-1.0,0
9,1068.0,438.0,1
10,1078.0,444.0,1
11,1074.0,444.0,1
12,1076.0,442.0,1
13,1072.0,442.0,1
14,1076.0,442.0,1
15,1076.0,442.0,1
16,1076.0,442.0,1
17,1078.0,442.0,1
18,1078.0,442.0,1
19,1072.0,440.0,1
20,1070.0,438.0,1
21,1066.0,438.0,1
22,1060.0,438.0,1
23,1054.0,438.0,1
24,1038.0,442.0,1
25,1040.0,440.0,1
26,1022.0,442.0,1
27,1060.0,328.0,1
28,1030.0,440.0,1
29,1034.0,440.0,1
30,1046.0,440.0,1
