frame,x,y,visible
0,-1.0,-1.0,0
1,-1.0,-1.0,0
2,-1.0,-1.0,0
3,-1.0,-1.0,0
4,-1.0,-1.0,0
5,-1.0,-1.0,0
6,-1.0,-1.0,0
7,-1.0,-1.0,0
8,-1.0,-1.0,0
9,-1.0,-1.0,0
10,-1.0,-1.0,0
11,-1.0,-1.0,0
12,-1.0,-1.0,0
13,-1.0,-1.0,0
14,-1.0,-1.0,0
15,942.0,338.0,1
16,-1.0,-1.0,0
17,946.0,340.0,1
18,946.0,340.0,1
19,948.0,344.0,1
20,-1.0,-1.0,0
21,940.0,344.0,1
22,942.0,336.0,1
23,-1.0,-1.0,0
24,942.0,338.0,1
25,-1.0,-1.0,0
26,-1.0,-1.0,0
27,944.0,334.0,1
28,942.0,334.0,1
29,940.0,330.0,1
30,-1.0,-1.0,0
